key,uuid,kind,indicator_label,code,unit,module,scenario,value,value_per_declared_unit
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of secondary material (SM),SM,kg,C4,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of secondary material (SM),SM,kg,D,,415.528920562561,415.528920562561
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,A1-A3,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,A4,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,A5,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,B1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,C1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,C2,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,C3,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,C4,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of renewable secondary fuels (RSF),RSF,MJ,D,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,A1-A3,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of non renewable secondary fuels (NRSF),NRSF,MJ,A4,,0.0,0.0
